번호, 제목, 등록일
773,2020년도 봄학기 평생교육원 교육과정 안내,2020-02-19
774,'코로나19' 관련 '마스크 선택 및 사용법' 안내,2020-02-24
775,코로나바이러스감염증-19 심각단계 국민행동수칙 안내,2020-02-27
776,코로나19로 인한 행정실 방문 자제요청,2020-02-27
777,[중요] 코로나19 구성원 준수사항 안내 및 신속한 정보전달을...,2020-02-28
778,2020학년도 학사일정 변경 안내,2020-03-02
779,[공지] 전자정보대학관 출입통제 안내,2020-03-04
780,[안내]코로나19 감염증 발생 관련 학사운영에 관한 규정 예외...,2020-03-05
781,2020학년도 공학교육인증 전문프로그램 신청 및 포기 기간 안...,2020-03-05
782,[안내] 코로나-19 감염증 예방을 위한 건물통제 강화조치 안...,2020-03-05
783,전자정보대학관 주출입구 변경 및 신분증 출입 안내,2020-03-09
784,[안내] 원격강의에 참여하기 (Google meet 이용),2020-03-11
785,'코로나19' 관련 '공적공급마스크 구매 5부제 시행...,2020-03-11
786,비대면(원격)수업 - 강의자료 저작권 관련 유의사항 안내,2020-03-17
787,캠퍼스 인근 선별/안심진료소 위치 안내,2020-03-17
788,코로나19 관련 온라인상 가짜뉴스 및 스미싱 등 사이버금융...,2020-03-17
789,[ABEEK] 이수 포기 절차 공지,2020-03-17
790,2020학년도 1학기 학점포기 신청 안내,2020-03-19
791,[중요] 코로나19로 인한 비대면강의 2주 연장 안내,2020-03-23
792,대중교통 내 사회적 거리두기 지침 안내,2020-03-26
793,[안내] 코로나19 감염증 대응을 위한 출석인정 대책 안내,2020-03-30
794,[안내] 대학 내 다중이용시설 및 외부인(상춘객) 출입 금지 ...,2020-03-30
795,[안내] 2020학년도 상반기 국제화 프로그램 및 전공연수 시행 ...,2020-03-30
796,[컴퓨터공학과 장학]컴퓨터공학과 이민영장학회 장학생 선...,2020-03-30
797,2019학년도 후기 졸업대상자 예비졸업사정 시행 안내,2020-03-31
798,[안내] 국제캠퍼스 편의시설(학생회관식당 카페 편의점) 이...,2020-03-31
799,[LINC+] 2020학년도 여름학기 단기현장실습 시행 안내,2020-03-31
800,청소년 교통비 지원사업 안내,2020-04-02
801,[소프트웨어융합대학] 2020년 1학기 근로학생 모집 ,2020-04-03
802,[안내] 2020-1학기 비대면 수업 연장 및 추가 공지사항 안내,2020-04-03
803,2020-1학기 본전공/다전공/트랙 신청 및 포기 실시 안내,2020-04-06
804,2020-1학기 필수교과(기초교과) 이수면제 시행안내,2020-04-06
805,2020년도 WISET 취업탐색 멘토링 멘티 모집 안내,2020-04-06
806,[안내] 소프트웨어융합대학비상대책위원회_정식인준찬반투...,2020-04-08
807,2019학년도 후기 졸업능력인증시험 대체관련 안내,2020-04-08
808,2020 서울시민회의 시민패널 모집 안내,2020-04-08
809,2020학년도 대학혁신지원사업 학생 모니터링단 사업 안내,2020-04-08
810,2020년 국가우수장학(이공계) 재학중우수자(2년지원) 유형 신...,2020-04-13
811,2020학년도 1학기 수강학점철회 추가 신청 및 2020학년도 2학기...,2020-04-13
812,2020학년도 1학기 부전공 및 조기졸업 신청안내,2020-04-13
813, 2020-1학기 우정원 임시 입사 운영 안내,2020-04-14
814,2020년 창의적 종합설계 경진대회 안내,2020-04-14
815,2020학년도 학생 포트폴리오 경진대회 안내,2020-04-14
816,2020학년도 1학기 필수교과(기초교과) 이수면제 신청 안내(신...,2020-04-21
817,국내 체류 외국인 유학생 공적 마스크 공급 안내,2020-04-21
818,WISET-HP 프린팅 코리아 글로벌 멘토링이공계 여대학(원)생 멘...,2020-04-27
819,2020학년도 봄 2차 외국어강좌 안내,2020-04-29
820,2020학년도 2학기 재입학 시행 안내,2020-05-06
821,2020-1학기 국제 생활관(우정원 제2기숙사) 입사 안내,2020-05-13
822,[중요] 이태원 클럽 방문 내/ 외국인 검역 협조 안내문 번역,2020-05-15
823,[중요] 전자정보대학관내 마스크 필수 착용 협조,2020-05-15
824,[LINC+] Microsoft Learning Program(MLP) 교육과정 안내,2020-05-18
825,[LINC+] 2020학년도 1학기 경희대학교 창업동아리 등록지원제 ...,2020-05-18
826,2020-1학기 졸업능력인증 신청접수 안내,2020-05-20
827,2020년 한국과학창의재단 과학퍼포머 모집 안내 ,2020-05-26
828,청소년 노동인권 교육 사업 BI 디자인 공모안내,2020-05-26
829,[학생지원센터(장학)]2020-2학기 국가장학금 1차 신청 안내,2020-05-27
830,다중이용시설 이용 학생 및 교직원(학원강사)검사 안내 요청,2020-05-27
831,불법 다단계 등 대학생 피해 사례 예방 안내,2020-05-29
