번호, 제목, 등록일
162,[장학] 2017학년도 하이트진로 장학생 선발 안내 ,2016-10-12
163,[장학] 제5회 행복나눔 장학금 장학생 모집 홍보 요청(배·�...,2016-10-13
164,[장학]컴퓨터공학과 발전장학금 신청 안내,2016-10-17
165,[장학] 2017학년도 STX장학재단 국내장학생 선발 안내,2016-10-20
166,[장학] 2016년 2학기 서울희망장학금 대학분야 장학생 선발 홍...,2016-10-20
167,「2016 공학교육페스티벌」 행사 개최 ,2016-10-24
168,2016학년도 2학기 핵심교양 이수면제 시행안내,2016-10-28
169,2016학년도 전기 졸업 교직이수예정자 대상 무시험검정원서 ...,2016-11-01
170,[장학] 2016년 서울장학재단 글로벌인재장학금 장학생 선발 ...,2016-11-01
171,[국제교류처]글로벌학습커뮤니티 참가자 모집,2016-11-02
172,사물인터넷(IoT) 전문가 양성과정 교육,2016-11-02
173,공개 SW Training Camp 2016,2016-11-04
174,[장학] 2016-2학기 장학팀 우정(가계곤란)장학금 신청,2016-11-04
175,공학교육인증 전문프로그램 신청 및 포기 안내 ,2016-11-07
176,[장학] 서울장학재단 유영아 학업장학금 제 4기 장학생 선발,2016-11-07
177,조기취업자 출석인정에 관한 시행 세칙,2016-11-07
178,[장학] 2017년 배·정 장학재단 제12기 전액정기 장학생 모집,2016-11-07
179,[장학] 2017년 1학기 롯데장학재단 장학생 신규선발,2016-11-15
180,2016-2학기 졸업능력인증 신청(대체/면제) 접수 안내,2016-11-16
181,2016학년도 2학기 강의평가 시행 안내,2016-11-17
182,[필독/공지]2016년도 2학기 온라인 안전교육 이수 ,2016-11-18
183,[서울어코드]2016 동계방학 현장연수활동(인턴쉽) 신청 안내,2016-11-23
184,2016학년도 단대우수학술장학생 모집,2016-12-01
185,[취업진로지원처]GS ITM 인턴 채용공고,2016-12-01
186,삼성드림클래스 2017년 1학기 대학생 강사 선발,2016-12-08
187,외국인 학생 상담 프로그램 실시 안내,2016-12-12
188,[장학] 2017년도 롯데장학재단 34기 멘토링장학생 선발 안내,2016-12-12
189,Magnolia 2016 - 목련회의 목련예술제 행사 참석,2016-12-12
190,[장학] 2017학년도 1학기 교내장학금 신청 안내,2016-12-13
191,[장학] 2017년도 9회 이수병장학생 선발 홍보 협조,2016-12-15
192,사회교육원 국비 취/창업 연계훈련과정 ,2016-12-20
193,전자정보대학 기술면접클리닉(2차) 신청안내,2016-12-20
194,[취업진로지원처]워크앤테이크 장기인턴십 채용 ,2016-12-21
195,[장학]경기도 지원 지능형로봇 국제공동연구사업 UCLA 연구 ...,2016-12-21
196,성적 관련 부정청탁 금지 안내 ,2016-12-21
197,2017-1학기 복학 신청 안내,2016-12-22
198,2017학년도 1학기 신편입생 수강신청 일정 변경 안내,2016-12-23
199,2017학년도 1학기 예비군 편성신고 안내,2016-12-27
200,2017학년도 1학기 전과 모집요강 ,2016-12-29
201,2017-1학기 전과 시행,2017-01-02
202,공학교육인증 전문프로그램 신청 및 포기 안내,2017-01-05
203,[장학] 2017년 서울희망장학금 공익인재분야 장학생 선발 공...,2017-01-11
204,2017-1학기 휴학신청 안내,2017-01-19
205,2017학년도 교양교육과정 변경사항 안내,2017-02-01
206,2017학년도 전기 내국인 신(편)입생 학생증 신청 안내,2017-02-02
207,2017학년도 전기 외국인 신입생 학생증 신청 안내,2017-02-02
208,2017학년도 1학기 학자금대출 업무처리기준 및 특별추천,2017-02-06
209,2016학년도 전기 학위수여식 안내(2017년 2월 졸업),2017-02-09
210,2017학년도 전기 국제캠퍼스 학부/대학원 내국인 신(편)입생 ...,2017-02-14
211,2017학년도 1학기 등하교 차량 운행 안내,2017-02-21
212,[취업]TNGN 긴급채용,2017-02-24
213,[취업]아이엠컴퍼니 긴급 채용,2017-02-28
214,2017학년도 공학교육인증 전문프로그램 신청 및 포기 기간 안...,2017-02-28
215,2017-1학기 국가장학금 2차 신청 안내,2017-03-02
216,2017년 1학기 지능형 엔지니어 실무 역량 교육 '취업에서 ...,2017-03-02
217,2017학년도 내국인 신(편)입생 학생증 추가 신청 안내,2017-03-06
218,[선발공고]NAVER 커넥트 재단 봉사단 모집,2017-03-06
219,2017-1학기 신·편입생 경희형제·자매장학 경희동문장학 �...,2017-03-06
220,2017학년도 1학기 학점포기 신청 안내,2017-03-08
221,1인 1멘토 평생멘토링 프로그램(6기) ,2017-03-09
222,2017년도 SST 상반기 지원 ,2017-03-09
223,2017년도 공자학원 중국국비장학생 선발 사업 설명회 안내 ,2017-03-10
